OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year,TPOAge,FullAddress,Area
47,01/98,Vernonholme,Riverside Drive,Dundee,f4643d4c-9404-4d88-9a10-bd9f70c1ad51,1998,28,"Vernonholme, Riverside Drive",West End
48,03/02,47 Albert Road,Broughty Ferry,Dundee,5aaa5864-c85f-4294-8d5a-61c52564eaab,2002,24,"47 Albert Road, Broughty Ferry",Broughty Ferry
49,04/04,Abertay Gardens,Broughty Ferry,Dundee,cd5b4332-f9e1-4c6a-8bd0-9822782be87c,2004,22,"Abertay Gardens, Broughty Ferry",Broughty Ferry
50,07/04,Reresmount Place,Land To West,Broughty Ferry,734c2431-ed5a-4f68-a33a-61f6e24d6185,2004,22,"Reresmount Place, Land To West, Broughty Ferry",Broughty Ferry
51,10/04,9A Seabourne Gardens,Broughty Ferry,Dundee,a6c11243-d177-4c69-8249-a23b75113b07,2004,22,"9A Seabourne Gardens, Broughty Ferry",Broughty Ferry
52,05/05,North Grange Farm,Arbroath Road,Dundee,0e725fa3-d874-4501-8c3a-40860969f688,2005,21,"North Grange Farm, Arbroath Road",Broughty Ferry
53,02/07,80 Forthill Road,Broughty Ferry,Dundee,5b38c6f3-aaf9-4dea-a06e-b348103b9596,2007,19,"80 Forthill Road, Broughty Ferry",Broughty Ferry
54,04/06,Land West Of Macalpine Road,Dundee,Dundee,72f697a1-b197-4d6b-accf-3580c03fc67e,2006,20,Land West Of Macalpine Road,Ardler
55,06/06,Harefield House,4 Clement Park Place,Dundee,3eb747cf-8699-432a-a9b9-155b23d93813,2006,20,"Harefield House, 4 Clement Park Place",Lochee
56,06/84,Baldragon Wood,Clatto,Dundee,43e51752-1f13-483a-bfab-6987d9ffb5b5,1984,42,"Baldragon Wood, Clatto",St Marys
57,07/07,North Balmossie Street,Panmurefield 1,Dundee,9fd06048-4e34-4f7b-9177-d82db6a130df,2007,19,"North Balmossie Street, Panmurefield 1",Broughty Ferry
58,08/07,12 Briarwood Terrace,Dundee,Dundee,66ba493e-7936-43b5-9999-f6ac6a9a458f,2007,19,12 Briarwood Terrace,Balgay
59,10/07,30C Albany Road,Broughty Ferry,Dundee,e0b8395f-ccab-44ec-8dcd-bb943b7a728a,2007,19,"30C Albany Road, Broughty Ferry",Broughty Ferry
60,10/08,1A Castleroy Road,Broughty Ferry,Dundee,31ee005e-19d6-4424-afd8-44481db9ba85,2008,18,"1A Castleroy Road, Broughty Ferry",Broughty Ferry
61,03/96,Rhoineach Mhor,588 Strathmartine Road,Dundee,e62ff10e-a702-4977-b05a-b6d452c5b917,1996,30,"Rhoineach Mhor, 588 Strathmartine Road",Kirkton
62,03/83,"25, 27 Claypotts Road",By Claypotts Castle,Broughty Ferry,6496bd42-7888-4cc6-9c9b-7b555e2b8701,1983,43,"25, 27 Claypotts Road, By Claypotts Castle, Broughty Ferry",Broughty Ferry
63,05/84,Hazel Avenue / Hazel Drive,Dundee,Dundee,637e75ba-a0b0-4e18-9fd3-b0d9f745c63f,1984,42,Hazel Avenue / Hazel Drive,Whitfield
64,07/84,21 Hill Street,Broughty Ferry,Dundee,1399e2e8-48d5-443d-bbee-eaa55f30c309,1984,42,"21 Hill Street, Broughty Ferry",Broughty Ferry
65,08/84,Ncr,Camperdown,Kingsway West,5d2cfdcb-5139-4954-b57f-c891290c8e05,1984,42,"Ncr, Camperdown, Kingsway West",Camperdown
66,02/87,Woodlands Hotel,Panmure Terrace,Broughty Ferry,3ab98b86-5f85-4898-ab8d-e92a89fa5f7b,1987,39,"Woodlands Hotel, Panmure Terrace, Broughty Ferry",Broughty Ferry
67,03/87,19 Cedar Road,Broughty Ferry,Dundee,2631e3e8-9860-4c08-bee8-25798721a5f4,1987,39,"19 Cedar Road, Broughty Ferry",Broughty Ferry
68,07/87,Dundee Crematorium,Macalpine Road,Dundee,b834cb6e-4e75-4320-9225-7a3fc95c2202,1987,39,"Crematorium, Macalpine Road",Ardler
69,01/88,Swallow Hotel,Kingsway West,Dundee,0cc66a38-e60d-48d9-85ae-39c32e9e376a,1988,38,"Swallow Hotel, Kingsway West",Camperdown
70,03/88,Anton House,Forthill Road / Cedar Grove,Broughty Ferry,389bebc0-5e42-4240-8f5e-295ee3b869fb,1988,38,"Anton House, Forthill Road / Cedar Grove, Broughty Ferry",Broughty Ferry
71,05/93,Myrekirk House,Myrekirk Road,Wester Gourdie Industrial Est.,cad4beb1-884f-452e-9a2a-e3d54df25c58,1993,33,"Myrekirk House, Myrekirk Road, Wester Gourdie Industrial Est.",Camperdown
72,02/94,Longhaugh Hotel,Pitkerro Road,Dundee,7d58fcd8-46e2-4e45-b148-e38002ea292c,1994,32,"Longhaugh Hotel, Pitkerro Road",Stobswell
73,02/01,Blackness Nursery,Perth Road,Dundee,1c434e2a-78a9-460d-bec3-65f41ac2323b,2001,25,"Blackness Nursery, Perth Road",West End
74,02/98,45 Craigie Drive And,1 Primrose Bank,Dundee,daf99be9-c91a-41ec-b63c-3b3fdb6e74d0,1998,28,"45 Craigie Drive And, 1 Primrose Bank",Craigiebank
75,04/03,Claverhouse,Dundee,Dundee,6d800d01-713d-4d4a-9341-d21078fa3a4b,2003,23,Claverhouse,Claverhouse
76,11/04,63A Camphill Road,Broughty Ferry,Dundee,b05edb7d-b590-4d10-93e4-aa48308d70ca,2004,22,"63A Camphill Road, Broughty Ferry",Broughty Ferry
77,02/06,Tower Court,Ralston Road,West Ferry,209ff61d-7cfc-46f5-9002-bd4ef228a14a,2006,20,"Tower Court, Ralston Road, West Ferry",Broughty Ferry
78,04/07,Plot 1,Reres Gardens,Broughty Ferry,f2236689-7ef8-459c-8045-1a62a49ee808,2007,19,"Plot 1, Reres Gardens, Broughty Ferry",Broughty Ferry
79,05/07,Land South Of,Lawers Drive,Panmurefield,338e97b5-e615-477e-9c9f-73fb5c50db36,2007,19,"Land South Of, Lawers Drive, Panmurefield",Broughty Ferry
80,13/07,91 Dundee Road,Broughty Ferry,Dundee,1e535917-dcb8-4e2c-874d-d61f20bc1a69,2007,19,"91 Road, Broughty Ferry",Broughty Ferry
81,01,Gray House,By Invergowrie,Dundee,f820d1f8-2387-4bea-b561-33291a504828,2001,25,"Gray House, By Invergowrie",Ninewells
82,06/13,Linlathen,Dundee,Dundee,3ed83134-a97c-445e-9d26-179587fec449,2013,13,Linlathen,Other
83,08/13,Fernbrae Hospital,329 Perth Road,Dundee,fe0a93f3-ecdf-42b1-aefe-209cac8f132e,2013,13,"Fernbrae Hospital, 329 Perth Road",Balgay
84,01/14,St Lukes Church & Hall,Baldovan Road,Dundee,ae6e8b7d-4c04-4933-89b2-1cf09f1c2a74,2014,12,"St Lukes Church & Hall, Baldovan Road",Downfield
85,06/83,Ballinard Hotel,Claypotts Road,Broughty Ferry,c9fb3dcd-b10e-47ff-a9d7-894391f10889,1983,43,"Ballinard Hotel, Claypotts Road, Broughty Ferry",Broughty Ferry
86,01/96,Mayfield,Arbroath Road,Dundee,30e9dbd1-4bd9-4946-99b7-df2cbf44f703,1996,30,"Mayfield, Arbroath Road",Stobswell
87,01/99,Former Dundee Royal Infirmary,Barrack Road,Dundee,aa7732b0-3299-4a7d-bad0-81edcc75bea2,1999,27,"Former Royal Infirmary, Barrack Road",Dundee Law
88,07/84,West Pitkerro,Dundee,Dundee,4f03af5e-060a-48b0-a9da-49c449fd2a8d,1984,42,West Pitkerro,Broughty Ferry
