OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
49,201814,H34,04/01/2018 00:00,1.669699893,"ETIVE GARDENS, FORMER GOWRIEHILL PS",335665,731239,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,RSL,,,,,Brownfield,No,No,35,0,0,0,0,0,35,0,0,35,0,0,0,0,0,0,0,0,35,16696.9989,547.4676859
50,201815,H35,04/01/2018 00:00,1.973772299,"DENOON TERRACE, FORMER HILLSIDE PS",336897,731187,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,TBC,,,,,Brownfield,No,No,45,0,0,0,0,0,45,0,15,30,0,0,0,0,0,0,0,0,45,19737.72301,660.4985602
51,201816,H36,04/01/2018 00:00,0.361871655,"HIGH STREET, LOCHEE, FORMER ST MARYS INFANT SCHOOL",337998,731337,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,TBC,,,,,Brownfield,No,No,10,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,3618.716522,271.859569
52,201817,H37,04/01/2018 00:00,4.926044065,"BURN STREET, FORMER BALDRAGON ACADEMY",339111,733973,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,TBC,,,,,Brownfield,No,No,70,0,0,0,0,0,70,0,0,0,35,35,0,0,0,0,0,0,70,49260.4406,1202.987309
53,201829,H41,01/11/2018 00:00,21.98329978,"DYKES OF GRAY, NORTH WEST",333717,731646,Effective,Allocated in LDP,SPRINGFIELD,Private,,,,,Greenfield,No,No,250,0,0,0,0,0,250,0,0,0,0,0,48,48,48,48,48,10,250,219832.9978,1876.377445
54,201821,H42,04/01/2018 00:00,3.27974373,"WESTERN GATEWAY, LIFF",334219,732498,Effective,Allocated in LDP,NHS,Private,,,,,Greenfield,No,No,30,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,30,32797.43736,770.799052
55,201822,H43,04/01/2018 00:00,13.44231191,"DYKES OF GRAY, NORTH EAST",334471,732016,Effective,Allocated in LDP,SPRINGFIELD,Private,,,,,Greenfield,No,No,215,0,0,0,0,0,215,0,0,24,36,36,36,36,36,11,0,0,215,134423.119,1578.236755
56,201823,H44,04/01/2018 00:00,6.221625252,BALDRAGON FARM,337401,734790,Effective,Under Construction,AVANT HOMES,Private,"19/00707/FULM, 20/00771/FULL",04/09/2021 00:00,19/00592/DOM1,,Greenfield,No,No,120,0,120,0,16,46,74,36,36,2,0,0,0,0,0,0,0,0,74,62216.25252,1236.576202
57,201824B,H45,5/21/2021 12:00:00 AM,7.487202999,"BALLUMBIE ROAD, LAND TO EAST OF - PHASE 2",344607,733962,Effective,Planning Consent,STEWART MILNE,Private,20/00423/FULM,5/21/2021 12:00:00 AM,"22/00108/DOM1 (46), 22/00643/DOM1 (104)",,Greenfield,No,No,150,0,150,0,0,0,150,0,24,24,24,24,24,24,6,0,0,0,150,74872.0298,1253.577665
58,201424,H47,04/01/2014 00:00,1.571273213,"STRATHYRE AVENUE, LAND TO EAST OF ",347040,732767,Constrained,Constrained,PRIVATE,Private,,,,,Greenfield,No,No,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,,0,0,15712.73215,587.7517677
